Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"[PR025]Пробег. Км","пробег","222006","(A*65536+B*256+C)","0","0","km",""
"[PR030]Положение Педали Акселератора","полож пед акс","22202E","(1.0*((A*256+B)))/8","0","0","%",""
"[PR035]Атмосферное Давление","атмосф давл","222009","(A*256+B)","0","0","mbar",""
"[PR037]Давление Хладагента","давл хлад","22222A","(1.0*((A*256+B)))/10","0","0","bar",""
"[PR038]Давление В Топливной Магистрали","давл в топл маг","222801","(A*256+B)","0","0","bar",""
"[PR041]Давление Наддува","давл наддува","222401","(A*256+B)","0","0","mbar",""
"[PR048]Отн. Ц. Откр. Кл. Рег. Д. В Общ. Т-Пров.","отн ц откр кл рег д в общ","22FDB9","(1.0*((A*256+B)))/655.36","0","0","%",""
"[PR055]Обороты двигателя","x1000","222002","(A*256+B)/4","0","0","rpm",""
"[PR059]Температура Забираемого Воздуха","темп забир воздуха","22240D","(1.0*((A*256+B)-2730))/10","0","0","*C",""
"[PR063]Температура Топлива","темп топлива","222008","(1.0*((A*256+B)-2730))/10","0","0","*C",""
"[PR064]Температура Воды","темп воды","222001","(1.0*((A*256+B)-2730))/10","0","0","*C",""
"[PR071]Напряжение Питания Компьютера","напряжение","222005","(1.0*((A*256+B)))/100","0","0","V",""
"[PR079]Напряжение Датчика Атмосф. Давл.","напр датч атм давл","222012","(1.0*(A*256+B))/1000","0","0","V",""
"[PR080]Напряж. Датчика Давления В Топл. Коллект.","напр датч давл в топл колл","22FD8A","(1.0*((A*256+B)))/13106.159","0","0","V",""
"[PR082]Напряжение Датчика Темп. Топлива","напр датч темп топлива","22FD89","(1.0*((A*256+B)))/6553.6","0","0","V",""
"[PR084]Напряжение Датчика Темп. Воды","напр датч темп воды","22FD8B","(1.0*((A*256+B)))/6553.6","0","0","V",""
"[PR089]Скорости Автомобиля","скорость авт","222003","(1.0*((A*256+B)))/100","0","0","км/час",""
"[PR1004]Parametre Prive 36","Prive 36","222486","(1.0*(A))/2.55","0","0","%",""
"[PR1005]Прохождение Ог В Противосажевом Фильтре","прохож ог в DPF","222447","(1.0*((A*256+B)))/10","0","0","м3/ч",""
"[PR1006]Напр.Датч. Отн.Давл. В Противосаж.Фильтре","напр датч отн давл в DPF","222446","(1.0*(A*256+B))/1000","0","0","V",""
"[PR1007]Ком. Отнош.Цикла Откр.Форс.Противосаж.Фил","ком отн цикла откр форс DPF","222826","(1.0*((A*256+B)))/100","0","0","%",""
"[PR1008]Продолжительность Последней Регенерации","длительн реген","222487","(1.0*((A*256+B)))/600","0","0","мин",""
"[PR1009]Уставка Знач.Темп.Перед Противосаж.Фильтр","уст знач темп перед DPF","222432","(1.0*((A*256+B)-2730))/10","0","0","*C",""
"[PR1016]Диагн. Напр.Питания Соед. Впуск.Заслонки","диагн напр пит соед впуск засл","2224D3","(1.0*(A*256+B))/1000","0","0","V",""
"[PR1017]Относ. Положение Заслонки Впуска Воздуха","относ полож засл впуск воздух","222404","(1.0*((A*256+B)))/20.491","0","0","%",""
"[PR1019]Полный Крутящий Момент Двигателя","полный крут момент","222067","(1.0*((A*256+B)))/32","0","0","Nm",""
"[PR1020]Смещение Датч.Давл. Противосаж. Фильтра","смещ датч давл DPF","2224C2","(A*256+B)-32768","0","0","mbar",""
"[PR1021]Абс. Положение Заслонки Впуска Воздуха","абс полож засл воздуха","2224CA","(1.0*((A*256+B)))/20.491","0","0","%",""
"[PR1022]Ср. Период Сигнала Датчика Расхода Воздуха","ср период сигн датч расх воздуха","22FD69","(A*256+B)","0","0","мкс",""
"[PR1023]Напр Пит. Датчика Заслонки Впуска Воздуха","напр пит датч засл впуск воздуха","2224D6","(1.0*(A*256+B))/1000","0","0","V",""
"[PR1024]Темп. Перед Блоком Засл. Впуска Воздуха","темп перед блок засл впуск воздуха","22244D","(1.0*((A*256+B)-2730))/10","0","0","*C",""
"[PR1025]Заданное Полож. Заслонки Впуска Воздуха","зад полож засл впуска воздуха","2224D2","(1.0*((A*256+B)-32767))/20.491","0","0","%",""
"[PR1026]Счетчик Потери Синхронизации Коленвала","счет потери синх коленвала","222162","(A*256+B)","0","0","",""
"[PR1029]Мощность Генератора","мощн","222057","10*(A*256+B)","0","0","W",""
"[PR1031]Общий Расход Системы Впрыска","общ расход сист впрыска","222809","(1.0*((A*256+B)))/100","0","0","mg/cp",""
"[PR1033]Напряжение Питания Датчика Срог","напр пит датчика рог","2224D5","(A*256+B)","0","0","mV",""
"[PR1035]Состояние Адапт. Цил. 1","сост адап цил 1","22FD15","A","0","0","",""
"[PR1036]Состояние Адапт. Цил. 2","сост адап цил 2","22FD16","A","0","0","",""
"[PR1037]Состояние Адапт. Цил. 3","сост адап цил 3","22FD17","A","0","0","",""
"[PR1038]Состояние Адапт. Цил. 4","сост адап цил 4","22FD18","A","0","0","",""
"[PR1078]Пробег После Замены Противосаж. Фильтра","пробег после замены DPF","2224BB","(A*65536+B*256+C)","0","0","km",""
"[PR1079]Пробег С Момента Посл. Успешной Регенер.","пробег с мом посл усп реген","2224A9","(A*65536+B*256+C)","0","0","km",""
"[PR1229]Расход После Системы Впрыска","расх после сист впрыска","22280D","(1.0*((A*256+B)))/100","0","0","mg/cp",""
"[PR1232]Количество Оборотов Коленчатого Вала","кол обор коленвала","22210E","(1.0*(A*16777216+B*65536+C*256+D))/1000000","0","0","",""
"[PR1245]Фазировка После Впрыска","фазир после впрыска","222813","(1.0*((A*256+B)-32768))/50","0","0","",""
"[PR128]Первое Смещение Клапана Рог","первое смещ рог","22242A","(1.0*((A*256+B)))/20.4918","0","0","%",""
"[PR129]Последнее Значение Смещения Клапана Рог","посл смещ рог","222429","(1.0*((A*256+B)))/20.4918","0","0","%",""
"[PR130]Установка регулировки скорости","уст скор КК","222035","A","0","0","км/час",""
"[PR135]Напр На Выкл Регулятора/Ограничителя Ск","напр выкл ККСЛ","222039","(1.0*(A*256+B))/1000","0","0","V",""
"[PR136]Положение Рог","положение рог","222407","(1.0*((A*256+B)))/20.491","0","0","%",""
"[PR146]Подача Забираемого Воздуха","подача забир воздуха","222412","(1.0*((A*256+B)))/10","0","0","mg/cp",""
"[PR147]Напряжение Потенц. Педали Тракт 1","напр педали тракт 1","22200B","(1.0*(A*256+B))/1000","0","0","V",""
"[PR148]Напряжение Потенц. Педали Тракт 2","напр педали тракт 2","22200C","(1.0*(A*256+B))/1000","0","0","V",""
"[PR160]Напряжение Потенциометра Рог","напр рог","222424","(1.0*(A*256+B))/1000","0","0","V",""
"[PR180]Установка Подачи Воздуха","уст подачи воздуха","222413","(1.0*((A*256+B)))/10","0","0","mg/cp",""
"[PR215]Напряжение No. 1 Питания Датчиков","напр 1 датчиков","222021","(1.0*(A*256+B))/1000","0","0","V",""
"[PR216]Напряжение No. 2 Питания Датчиков","напр 2 датчиков","222022","(1.0*(A*256+B))/1000","0","0","V",""
"[PR224]Напряжение Датчика Давл. Наддува","напр датч давл наддува","22FD82","(1.0*((A*256+B)))/6553.6","0","0","V",""
"[PR241]Управление Клапана Рог","упр клап рог","222409","(1.0*((A*256+B)-32768))/100","0","0","%",""
"[PR279]Команда Впускной Заслонки","ком впуск заслонки","222406","(1.0*((A*256+B)-32768))/100","0","0","%",""
"[PR303]Parametre Prive 1","prive 1","22201C","A","0","0","",""
"[PR304]Parametre Prive 2","prive 2","222875","(A*256+B)","0","0","",""
"[PR306]Parametre Prive 4","prive 4","222057","10*(A*256+B)","0","0","W",""
"[PR312]Давление В Коллекторе","давл в коллекторе","22240B","(A*256+B)","0","0","mbar",""
"[PR364]Коррекция Дебита Топлива Цилиндра No. 1","корр деб цил 1","22FD07","0.0000305*(A*256+B)","0","0","",""
"[PR365]Коррекция Дебита Топлива Цилиндра No. 4","корр деб цил 4","22FD0A","0.0000305*(A*256+B)","0","0","",""
"[PR382]Температура На Входе Противосаж. Фильтра","темп на входе DPF","222442","(1.0*((A*256+B)-2730))/10","0","0","*C",""
"[PR383]Масса Сажи В Противосажевом Фильтре","масса сажи в DPF","22242C","(1.0*((A*256+B)))/100","0","0","грамм",""
"[PR385]Расход В Линии Выпуска Отработанных Газов","расх линии выпуска ОГ","222400","(1.0*((A*256+B)))/100","0","0","g/s",""
"[PR405]Коррекция Расхода Топлива Цилиндра No. 2","корр расх цил 2","22FD08","0.0000305*(A*256+B)","0","0","",""
"[PR406]Коррекция Расхода Топлива Цилиндра No. 3","корр расх цил 3","22FD09","0.0000305*(A*256+B)","0","0","",""
"[PR414]Дифференциальное Давление Противосажевый Фильтр","дифф давл DPF","222542","(A*256+B)-32768","0","0","mbar",""
"[PR415]Время С Момента Последней Регенерации","время с мом посл реген","222488","(1.0*(A*256+B))/3600","0","0","час",""
"[PR542]Значение Потенц. При Закр. Клапане Рог","знач потенц при закр рог","2224CF","(1.0*(A*256+B))/20.491","0","0","%",""
"[PR635]Напряжение Питания N°3 Датчиков","напр 3 датчиков","222023","(1.0*(A*256+B))/1000","0","0","V",""
"[PR636]Давление На Входе Турбины","p на вх @","222448","(A*256+B)","0","0","mbar",""
"[PR667]Температура На Входе Турбины","t на вх @","222439","(1.0*((A*256+B)-2730))/10","0","0","*C",""
"[PR668]Напряжение Датчика Темп. На Входе Турбины","напр датчика t на вх @","22243A","(1.0*((A*256+B)))/6553.08","0","0","V",""
"[PR670]Напряж Датч Темп Перед Противос Фильтром","напр датч темп перед DPF","22FD88","(1.0*((A*256+B)))/6553","0","0","V",""
"[PR672]Заданное Полож. Заслонки Впуска Воздуха","зад полож засл впуска воздуха","222405","(1.0*((A*256+B)-32767))/20.491","0","0","%",""
"[PR739]Ток Эл/Магн. Клап. Регулир. Подачи Топл.","ток э/м клап рег под топл","22FDB8","(1.0*(((A*256+B))*1000))/314.76","0","0","mA",""
"[PR774]Напряж. Датч. Полож. Засл. Впуска Возд.","напр датч полож засл впуск воздуха","222417","(1.0*(A*256+B))/1000","0","0","V",""
"[PR782]Напряж. Датчика Давл. На Входе Турбины","напр датч давл на вх @","22FD86","(1.0*((A*256+B)))/6553","0","0","V",""
"[PR804]Пробег А/М При Последнем Появл. Неиспр.","пробег при появл неиспр","190680","(E*65536+F*256+G)","0","0","km",""
"[PR806]Число Случаев Появление Неисправности","число случаев неисправн","190684","E","0","0","",""
"[PR827]Длительность Нажатия Кнопки Возобновить"","длит нажатия кнопки R","22207A","A","0","0","s",""
"[PR828]Длительность Нажатия Кнопки +"","длит нажатия кнопки +","22207B","A","0","0","s",""
"[PR829]Длительность Нажатия Кнопки -"","длит нажатия кнопки -","22207C","A","0","0","s",""
"[PR830]Длительность Наж. Кнопки Приостановить"","длит нажатия кнопки 0","22207D","A","0","0","s",""
"[PR846]Сцо Электромаг. Клапана Рег. Дав. Наддув","сцо э/м клапана рег наддува","222403","(1.0*((A*256+B)))/100","0","0","%",""
"[PR847]Напряж. Датчика Темп. Поступающ. Воздуха","напр датч темп воздуха","22FD84","(1.0*((A*256+B)))/6553.6","0","0","V",""
"[PR848]Число Неудачных Попыток Регенерации","число неуд попыток реген","222485","A","0","0","",""
"[PR849]Число Ненорм Пер Из Реж Рег В Реж Огр Ск","числ ненорм пер режимов КК","22207E","A","0","0","",""
"[PR850]Заданное Знач. Силы Тока. Подача Топлива","зад знач тока подача топлива","22FDB7","((A*256+B))","0","0","mA",""
"[PR851]Отображаемая Скорость Автомобиля","отобр скорость","222050","(1.0*((A*256+B)))/100","0","0","км/час",""
"[PR858]Первое Смещен Открытой Заслон Впуск Возд","перв смещ откр засл воздуха","222425","(1.0*(A*256+B))/20.491","0","0","%",""
"[PR859]Первое Смещен Закрыт Заслон Впуск Воздух","перв смещ закр засл воздуха","222427","(1.0*(A*256+B))/20.491","0","0","%",""
"[PR860]Последн Смещен Закрыт Заслон Впуска Возд","посл смещ закр засл воздуха","222428","(1.0*(A*256+B))/20.491","0","0","%",""
"[PR861]Послед Смещен Открыт Заслон Впуска Возд","посл смещ откр засл воздуа","222426","(1.0*(A*256+B))/20.4918","0","0","%",""
"[PR864]Сцо Клапана Регул. Подачи Топл. В Рампу","сцо клапана рег подачи топл","22FDB6","(1.0*((A*256+B)))/655.36","0","0","%",""
"[PR869]Пробег А/М При Первом Появлен Неисправн","пробег при первой неиспр","190687","(E*65536+F*256+G)","0","0","km",""
"[PR870]Пробег С Присутствующей Неисправностью","пробег с неисправн","190686","(E*65536+F*256+G)","0","0","km",""
"[PR889]Задан. Знач. Температ. На Входе Турбины","зад знач темп на входе @","222438","(1.0*((A*256+B)-2730))/10","0","0","*C",""
"[PR890]Управление Свечами Предпуск. Подогрева","упр свечами предпуск подогр","222052","(1.0*(A))/2.55","0","0","%",""
"[PR891]Режим Предпускового Подогрева","режим предпуск подогрева","22219A","(1.0*((A*256+B)))/4","0","0","%",""
"[PR914]Счетчик Успешных Регенераций","счет усп реген","222481","A","0","0","",""
"[PR916]Измеряемый Массовый Расход Воздуха","изм масс расх воздуха","2224F2","(1.0*((A*256+B)))/10","0","0","kg/h",""
"[PR929]Полное Относительное Давление В Псф","полн относ давл DPF","2224E3","(A*256+B)-32768","0","0","mbar",""
"[PR931]Полное Давление Наддува","полн давл наддува","22F40B","(A)*10","0","0","mbar",""
"[PR932]Степень Разжижения Моторного Масла","степень разжиж масла","2224EC","(1.0*(signed(A*16777216+B*65536+C*256+D)))/1000000","0","0","%",""
"[PR988]Расход После Системы Впрыска 1","расх после сист впрыска 1","22280E","(1.0*((A*256+B)))/100","0","0","mg/cp",""
